ActionRef;Name;Icon;Description;Etoile;Category
B01;Ne pas arracher les plantes;;Les fleurs sont butinées par les abeilles et les abeilles sont très utiles pour polliniser les arbres. Grâce à elles, nous avons des fruits à manger! Quant aux plantes, certaines servent de nourriture à un tas de petites bêtes herbivores ou de refuge à des insectes qui sont eux-mêmes de la nourriture pour les oiseaux.;0;Biodiversité
B02;Ne pas tuer les petites bêtes;;<a href=https://www.1jour1actu.com/monde/enfants-biodiversite>Cliquez ici afin de découvrir pourquoi il ne faut pas tuer les insectes</a><br> <p>La biodiversité est un équilibre indispensable pour maintenir la diversité du vivant. Si on ne respecte pas l''environnement, la biodiversité est en danger, l''équilibre est rompu, et cela veut dire que des espèces animales et végétales risquent de disparaître (insectes, plantes, poissons, oiseaux ...)</p>;0;Biodiversité
B07;Manger moins de viande (manger du poisson ou des œufs);;;5;Biodiversité
C01;Faire des courses proches de chez soi;;On évite ainsi de la pollution en réduisant l''impact des transports polluants.;5;Courses
C02;Ne pas acheter de produits contenant de l''huile de palme ;;Il faut arracher beaucoup d''arbres pour planter des palmeraies qui serviront à fabriquer de l''huile de palme. Et nous avons besoin des forêt pour la qualité de l''air que nous respirons. L''huile de palme est présente dans de nombreux produits alimentaires comme le Nutella . Heureuement, il existe maintenant plein de produits équivalents sans huile de palme!;2;Courses
C06;Préparer soi-même ses goûters, ses yaourts;;Lorsqu''on fait soi-même ses yaourts ou ses compotes, on réduit le nombre d''emballages que l''on produit.;4;Courses
C06;Préparer soi-même son pain ou sa brioche;;Lorsqu''on fait soi-même ses yaourts ou ses compotes, on réduit le nombre d''emballages que l''on produit.;4;Courses
D01;Eviter de refaire des photocopies en rangeant mieux ses feuilles.;;Le papier est fabriqué avec du bois en provenance des arbres. Les arbres contribuent à la qualité de l''air qu''on respire car ils absorbent du gaz carbonique et rejettent de l''oxygène dont nous avons besoin. Utilisons du papier recyclé et économisons le papier pour protéger les forêts et du coup, la qualité de notre air.;3;Déchets
D01;Réutiliser le dos des feuilles en brouillon;;Le papier est fabriqué avec du bois en provenance des arbres. Les arbres contribuent à la qualité de l''air qu''on respire car ils absorbent du gaz carbonique et rejettent de l''oxygène dont nous avons besoin. Utilisons du papier recyclé et économisons le papier pour protéger les forêts et du coup, la qualité de notre air.;3;Déchets
D02;Garder les restes de repas pour les manger un autre jour;;Si on finit son assiette, on produit moins de déchets, et donc moins de pollution atmosphérique (incinérateurs) à moins d''avoir des poules qui mangeront nos restes. On fait aussi des économies;4;Déchets
D03;Ne pas jeter les déchets dans la nature;;;4;Déchets
D04;Ramasser les déchets et les mettre dans une poubelle;;Lorsqu''on jette des déchets dans la nature, ils peuvent mettre des années avant de se dégrader (épluchure de fruit 6 mois, chewing-gum 5 ans, canette aluminium 50 ans, sac plastique 450 ans,,,), De plus, ces déchets sont dangereux pour les animaux qui peuvent les ingurgiter.;2;Déchets
D05;Acheter seulement quand on en a besoin,;;Chaque fois que l’on fabrique quelque chose, on utilise de l’énergie. Réduire le nombre de produits qu’on achète permet de réduire la consommation d’énergie et donc le réchauffement climatique. Si on achète des produits d’occasion, on donne une nouvelle vie à des objets qui peuvent encore servir et cela évite de fabriquer inutilement. En plus, on fait des économies !;2;Déchets
D06;Réparer plutôt que jeter;;;2;Déchets
D06;Donner les habits qui ne nous vont plus ou les jouets qu’‘on utilise plus au lieu de les jeter;;;2;Déchets
D08;Utiliser les bacs de tri (noir, vert, jaune);;"Trier les déchets permet de recycler tous les déchets qui peuvent l''être et de réduire ce qui est brûlé dans les incinérateurs et donc polluant pour l''air qu''on respire. De plus, on peut fabriquer des nouveaux produits avec ce qui est recyclé sans toucher à nos ressources naturelles <a href=""https://www.youtube.com/watch?v=k3Yfvq-HkFI"">Cliquez ici afin de découvrir pourquoi il faut acheter des objets recyclables</a>";4;Déchets
D09;Faire un compost;;On peut recycler les épluchures de fruits et de légumes, le marc de café, les brosses à dents en bambou... en faisant un compost : ils se transformeront en engrais pour les plantes;3;Déchets
D10;Boire de l’‘eau du robinet plutôt que de l’‘eau en bouteilles en plastique;;L''eau du robinet est bonne à boire. On dit qu''elle est potable. Si on aime pas trop son goût, on peut la filtrer. On peut même la mettre au frigo si on aime boire de l''eau bien fraîche et on fait des économies.;3;Déchets
D10;Utiliser une gourde quand on veut boire dehors;;L''eau du robinet est bonne à boire. On dit qu''elle est potable. Si on aime pas trop son goût, on peut la filtrer. On peut même la mettre au frigo si on aime boire de l''eau bien fraîche et on fait des économies.;3;Déchets
D11;Acheter en vrac, éviter les emballages plastiques privilégier les emballages cartons;;Cela évite de produire des déchets qui souvent ne sont pas recyclables. On peut acheter par exemple un gros pot de compote en verre au lieu d''acheter un paquet de 12 petites gourdes à jeter. On peut aussi utilser des sacs papier ou des filets réutilisables lorsque l''on fait ses courses au lieu d''utliser des sacs jetables.;4;Déchets
D11;Utiliser des sacs réutilisables pour faire ses courses;;Cela évite de produire des déchets qui souvent ne sont pas recyclables. On peut acheter par exemple un gros pot de compote en verre au lieu d''acheter un paquet de 12 petites gourdes à jeter. On peut aussi utilser des sacs papier ou des filets réutilisables lorsque l''on fait ses courses au lieu d''utliser des sacs jetables.;4;Déchets
D11;Emballer les cadeaux avec du tissu ;;Cela évite de produire des déchets qui souvent ne sont pas recyclables. On peut acheter par exemple un gros pot de compote en verre au lieu d''acheter un paquet de 12 petites gourdes à jeter. On peut aussi utilser des sacs papier ou des filets réutilisables lorsque l''on fait ses courses au lieu d''utliser des sacs jetables.;4;Déchets
E01;Eteindre la lumière quand on quitte la pièce;;L''électricité est devenue indispensable à notre mode de vie (lumière, télévision, chauffage, ordinateur, téléphone…) mais produire de l''électricité est difficile et nécessite de modifier notre environnement et contribue à la pollution de l''air et au réchauffement climatique (barrages, éoliennes, puits de pétrole, centrales nucléaires);2;Electricité
E03;Eteindre complètement les appareils (ne pas laisser sous veille);;Cela permet d''économiser de l''électricité. Les moyens de produire de l''électricité sont aussi dangereux pour la biodiversité : des animaux perdent leur habitat (poissons, oiseaux) du fait de la construction des barrages, éoliennes, puits de pétrole, centrales nucléaire). Les déchets des centrales nucléaires sont radioactifs et polluent la terre durablement;3;Electricité
E04;Eteindre la télé quand on ne la regarde pas;;;3;Electricité
E07;Utiliser les heures creuses;;Mettre la température à 19 degrés permet de limiter la consommation d''énergie que ce soit de gaz, fioul ou électricité;5;Electricité
E08;Fermer les fenêtres quand on chauffe;;;1;Electricité
E08;Fermer les volets l’‘hiver;;;1;Electricité
E08;Fermer le frigo;;;1;Electricité
E10;Etendre le linge pour ne pas utiliser le sèche linge ;;;3;Electricité
E12;Utiliser la climatisation ou de manière adaptée ;;Il faut beaucoup d''électricité pour produire du froid en été. Quand il fait trop chaud dehors, qu''il y a une canicule, il n''est pas utile de rafraîchir l''air à des températures inférieures à 24°.;5;Electricité
T04;Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;;Lorsque l''on se rend dans un endroit où on peut aller en transport en commun ou à plusieurs, on pollue mois que de prendre chacun sa voiture. La pollution des véhicules contribue au réchauffement climatique.;3;Transport
T06;Couper le moteur quand on ne roule pas;;Cela ne sert à rien de laisser tourner son moteur quand on est arrêté. Tant pis s’il fait froid dans la voiture l’hiver ou s’il fait trop chaud l’été : on gaspille de l’essence en laissant son moteur allumé pour avoir du chauffage ou de la climatisation et on produit aussi plus de pollution, ce qui contribue au réchauffement climatique.;4;Transport
W01;Prendre des douches rapides et pas trop chaude et couper l’‘eau quand on se savonne;;"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";3;Eau
W02;Couper l’‘eau quand on se brosse les dents et utiliser un gobelet;;"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";2;Eau
W03;Couper l’‘eau quand on se savonne les mains;;"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";2;Eau
W04;Choisir le bouton de la chasse d’‘eau selon ses besoins;;;2;Eau
W05;Prendre seulement 1 bain par semaine;;"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";3;Eau
W06;Récupérer l’‘eau froide de la douche pour arroser les plantes;;;2;Eau
